budget,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
0.05,credit-g,hgb,class_proportional,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_m,0.5699,0.0264,0.5656,0.0343,0.2347,0.053,0.1419,0.0489,0.0258,0.0144
0.05,credit-g,hgb,crcc_p_l0,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_p_l025,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_p_l05,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,crcc_p_l10,0.5568,0.0113,0.5463,0.0158,0.1947,0.0242,0.2065,0.054,0.071,0.0421
0.05,credit-g,hgb,global_top_loss,0.5349,0.005,0.4985,0.0116,0.104,0.0174,0.529,0.0489,0.471,0.0489
0.05,credit-g,hgb,no_cleaning,0.5442,0.0174,0.5169,0.0273,0.1307,0.0318,0.0,0.0,0.0,0.0
0.05,credit-g,hgb,oracle_deletion,0.561,0.0191,0.5412,0.0278,0.1573,0.0345,1.0,0.0,0.0,0.0
0.05,credit-g,hgb,random_deletion,0.5415,0.0223,0.5148,0.0347,0.1333,0.0442,0.1032,0.0924,0.0839,0.0368
0.05,credit-g,lr,class_proportional,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_m,0.5909,0.0316,0.5882,0.044,0.24,0.0653,0.2194,0.062,0.0129,0.0177
0.05,credit-g,lr,crcc_p_l0,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_p_l025,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_p_l05,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,crcc_p_l10,0.5914,0.0277,0.5895,0.0381,0.24,0.0525,0.2903,0.0559,0.0516,0.0289
0.05,credit-g,lr,global_top_loss,0.5663,0.0253,0.5476,0.0411,0.168,0.0623,0.6581,0.0872,0.3419,0.0872
0.05,credit-g,lr,no_cleaning,0.5291,0.0142,0.4775,0.0307,0.072,0.0384,0.0,0.0,0.0,0.0
0.05,credit-g,lr,oracle_deletion,0.5436,0.0269,0.5014,0.0513,0.0987,0.0601,1.0,0.0,0.0,0.0
0.05,credit-g,lr,random_deletion,0.536,0.0246,0.4899,0.0479,0.088,0.0586,0.1032,0.0924,0.0839,0.0368
0.05,ecoli,hgb,class_proportional,0.7727,0.1174,0.7709,0.098,0.6316,0.244,0.4545,0.1286,0.0364,0.0498
0.05,ecoli,hgb,crcc_m,0.7591,0.1011,0.7609,0.0884,0.6105,0.2025,0.4,0.1379,0.0182,0.0407
0.05,ecoli,hgb,crcc_p_l0,0.7727,0.1174,0.7709,0.098,0.6316,0.244,0.4545,0.1286,0.0364,0.0498
0.05,ecoli,hgb,crcc_p_l025,0.7727,0.1174,0.7709,0.098,0.6316,0.244,0.4545,0.1286,0.0364,0.0498
0.05,ecoli,hgb,crcc_p_l05,0.7727,0.1174,0.7709,0.098,0.6316,0.244,0.4545,0.1286,0.0364,0.0498
0.05,ecoli,hgb,crcc_p_l10,0.7727,0.1174,0.7709,0.098,0.6316,0.244,0.4545,0.1286,0.0364,0.0498
0.05,ecoli,hgb,global_top_loss,0.637,0.0961,0.6493,0.1082,0.3263,0.1912,0.7455,0.0761,0.2545,0.0761
0.05,ecoli,hgb,no_cleaning,0.6745,0.1196,0.6847,0.1225,0.4105,0.2452,0.0,0.0,0.0,0.0
0.05,ecoli,hgb,oracle_deletion,0.7596,0.1216,0.7743,0.1178,0.5684,0.2452,1.0,0.0,0.0,0.0
0.05,ecoli,hgb,random_deletion,0.6918,0.1253,0.699,0.1288,0.4421,0.2673,0.2364,0.122,0.1273,0.122
0.05,ecoli,lr,class_proportional,0.7794,0.079,0.8059,0.0663,0.5895,0.1761,0.6545,0.1626,0.0,0.0
0.05,ecoli,lr,crcc_m,0.7883,0.0808,0.812,0.0678,0.6105,0.1808,0.5818,0.1379,0.0,0.0
0.05,ecoli,lr,crcc_p_l0,0.7794,0.079,0.8059,0.0663,0.5895,0.1761,0.6545,0.1626,0.0,0.0
0.05,ecoli,lr,crcc_p_l025,0.7794,0.079,0.8059,0.0663,0.5895,0.1761,0.6545,0.1626,0.0,0.0
0.05,ecoli,lr,crcc_p_l05,0.7794,0.079,0.8059,0.0663,0.5895,0.1761,0.6545,0.1626,0.0,0.0
0.05,ecoli,lr,crcc_p_l10,0.7794,0.079,0.8059,0.0663,0.5895,0.1761,0.6545,0.1626,0.0,0.0
0.05,ecoli,lr,global_top_loss,0.6849,0.0837,0.7155,0.0987,0.3789,0.1722,0.9636,0.0498,0.0364,0.0498
0.05,ecoli,lr,no_cleaning,0.6353,0.0639,0.659,0.0821,0.2737,0.1257,0.0,0.0,0.0,0.0
0.05,ecoli,lr,oracle_deletion,0.7202,0.1121,0.7519,0.1207,0.4526,0.2189,1.0,0.0,0.0,0.0
0.05,ecoli,lr,random_deletion,0.6322,0.0597,0.6556,0.0746,0.2737,0.1141,0.2364,0.122,0.1273,0.122
0.05,phoneme,hgb,class_proportional,0.7384,0.0183,0.761,0.0197,0.532,0.0306,0.5048,0.0418,0.0155,0.0123
0.05,phoneme,hgb,crcc_m,0.7443,0.0184,0.7663,0.0198,0.5467,0.0295,0.444,0.0499,0.0083,0.008
0.05,phoneme,hgb,crcc_p_l0,0.7384,0.0183,0.761,0.0197,0.532,0.0306,0.5048,0.0418,0.0155,0.0123
0.05,phoneme,hgb,crcc_p_l025,0.7384,0.0183,0.761,0.0197,0.532,0.0306,0.5048,0.0418,0.0155,0.0123
0.05,phoneme,hgb,crcc_p_l05,0.7384,0.0183,0.761,0.0197,0.532,0.0306,0.5048,0.0418,0.0155,0.0123
0.05,phoneme,hgb,crcc_p_l10,0.7384,0.0183,0.761,0.0197,0.532,0.0306,0.5048,0.0418,0.0155,0.0123
0.05,phoneme,hgb,global_top_loss,0.6787,0.0106,0.7015,0.0128,0.3868,0.0185,0.8167,0.0195,0.1798,0.0232
0.05,phoneme,hgb,no_cleaning,0.6762,0.009,0.6985,0.0109,0.3812,0.017,0.0,0.0,0.0,0.0
0.05,phoneme,hgb,oracle_deletion,0.7086,0.014,0.7359,0.016,0.4433,0.0267,1.0,0.0,0.0,0.0
0.05,phoneme,hgb,random_deletion,0.6802,0.0139,0.7031,0.0165,0.3888,0.0285,0.1131,0.0073,0.0964,0.0106
0.05,phoneme,lr,class_proportional,0.5756,0.0109,0.5662,0.0174,0.1916,0.0281,0.3214,0.0174,0.0107,0.0114
0.05,phoneme,lr,crcc_m,0.576,0.0092,0.5671,0.0149,0.1931,0.0259,0.2452,0.0165,0.0071,0.0078
0.05,phoneme,lr,crcc_p_l0,0.5756,0.0109,0.5662,0.0174,0.1916,0.0281,0.3214,0.0174,0.0107,0.0114
0.05,phoneme,lr,crcc_p_l025,0.5756,0.0109,0.5662,0.0174,0.1916,0.0281,0.3214,0.0174,0.0107,0.0114
0.05,phoneme,lr,crcc_p_l05,0.5756,0.0109,0.5662,0.0174,0.1916,0.0281,0.3214,0.0174,0.0107,0.0114
0.05,phoneme,lr,crcc_p_l10,0.5756,0.0109,0.5662,0.0174,0.1916,0.0281,0.3214,0.0174,0.0107,0.0114
0.05,phoneme,lr,global_top_loss,0.5298,0.0073,0.48,0.0163,0.0701,0.0204,0.831,0.043,0.169,0.043
0.05,phoneme,lr,no_cleaning,0.503,0.0038,0.4204,0.0082,0.0061,0.0077,0.0,0.0,0.0,0.0
0.05,phoneme,lr,oracle_deletion,0.5131,0.01,0.4411,0.0204,0.0262,0.0199,1.0,0.0,0.0,0.0
0.05,phoneme,lr,random_deletion,0.503,0.0038,0.4204,0.0082,0.0061,0.0077,0.1131,0.0073,0.0964,0.0106
0.05,pima,hgb,class_proportional,0.606,0.0322,0.6048,0.0378,0.3224,0.0638,0.2909,0.0407,0.0364,0.0203
0.05,pima,hgb,crcc_m,0.6211,0.0369,0.6224,0.0435,0.3463,0.0719,0.2182,0.0498,0.0,0.0
0.05,pima,hgb,crcc_p_l0,0.606,0.0322,0.6048,0.0378,0.3224,0.0638,0.2909,0.0407,0.0364,0.0203
0.05,pima,hgb,crcc_p_l025,0.606,0.0322,0.6048,0.0378,0.3224,0.0638,0.2909,0.0407,0.0364,0.0203
0.05,pima,hgb,crcc_p_l05,0.606,0.0322,0.6048,0.0378,0.3224,0.0638,0.2909,0.0407,0.0364,0.0203
0.05,pima,hgb,crcc_p_l10,0.606,0.0322,0.6048,0.0378,0.3224,0.0638,0.2909,0.0407,0.0364,0.0203
0.05,pima,hgb,global_top_loss,0.5589,0.0282,0.5274,0.041,0.1642,0.0506,0.6182,0.0943,0.3818,0.0943
0.05,pima,hgb,no_cleaning,0.5597,0.0336,0.5346,0.0475,0.1851,0.0584,0.0,0.0,0.0,0.0
0.05,pima,hgb,oracle_deletion,0.577,0.0355,0.5585,0.0483,0.2179,0.072,1.0,0.0,0.0,0.0
0.05,pima,hgb,random_deletion,0.5561,0.0111,0.5293,0.0169,0.1761,0.0245,0.1273,0.0874,0.1182,0.0943
0.05,pima,lr,class_proportional,0.6501,0.0377,0.6559,0.0448,0.3642,0.0638,0.3727,0.0593,0.0364,0.038
0.05,pima,lr,crcc_m,0.6532,0.0329,0.6601,0.0388,0.3672,0.0455,0.3273,0.038,0.0091,0.0203
0.05,pima,lr,crcc_p_l0,0.6501,0.0377,0.6559,0.0448,0.3642,0.0638,0.3727,0.0593,0.0364,0.038
0.05,pima,lr,crcc_p_l025,0.6501,0.0377,0.6559,0.0448,0.3642,0.0638,0.3727,0.0593,0.0364,0.038
0.05,pima,lr,crcc_p_l05,0.6501,0.0377,0.6559,0.0448,0.3642,0.0638,0.3727,0.0593,0.0364,0.038
0.05,pima,lr,crcc_p_l10,0.6501,0.0377,0.6559,0.0448,0.3642,0.0638,0.3727,0.0593,0.0364,0.038
0.05,pima,lr,global_top_loss,0.5829,0.0433,0.5541,0.0668,0.1851,0.0868,0.7273,0.0643,0.2636,0.0674
0.05,pima,lr,no_cleaning,0.5385,0.0203,0.4769,0.0352,0.0866,0.0386,0.0,0.0,0.0,0.0
0.05,pima,lr,oracle_deletion,0.5443,0.0218,0.4893,0.0361,0.1015,0.04,1.0,0.0,0.0,0.0
0.05,pima,lr,random_deletion,0.5526,0.0204,0.5034,0.0325,0.1164,0.0356,0.1273,0.0874,0.1182,0.0943
0.05,yeast,hgb,class_proportional,0.6757,0.0176,0.6911,0.0152,0.423,0.0424,0.3855,0.0488,0.0364,0.0129
0.05,yeast,hgb,crcc_m,0.6868,0.0281,0.7024,0.0259,0.4426,0.0591,0.3309,0.0488,0.0073,0.01
0.05,yeast,hgb,crcc_p_l0,0.6757,0.0176,0.6911,0.0152,0.423,0.0424,0.3855,0.0488,0.0364,0.0129
0.05,yeast,hgb,crcc_p_l025,0.6757,0.0176,0.6911,0.0152,0.423,0.0424,0.3855,0.0488,0.0364,0.0129
0.05,yeast,hgb,crcc_p_l05,0.6757,0.0176,0.6911,0.0152,0.423,0.0424,0.3855,0.0488,0.0364,0.0129
0.05,yeast,hgb,crcc_p_l10,0.6757,0.0176,0.6911,0.0152,0.423,0.0424,0.3855,0.0488,0.0364,0.0129
0.05,yeast,hgb,global_top_loss,0.6239,0.0254,0.6506,0.0313,0.2852,0.0472,0.7309,0.0237,0.2655,0.0244
0.05,yeast,hgb,no_cleaning,0.6181,0.0268,0.6407,0.0313,0.282,0.0536,0.0,0.0,0.0,0.0
0.05,yeast,hgb,oracle_deletion,0.6416,0.031,0.6684,0.0327,0.3246,0.069,1.0,0.0,0.0,0.0
0.05,yeast,hgb,random_deletion,0.624,0.0158,0.6478,0.0194,0.2951,0.0284,0.1564,0.0699,0.0836,0.033
0.05,yeast,lr,class_proportional,0.6947,0.0172,0.7319,0.0192,0.4197,0.0359,0.5127,0.027,0.0145,0.0152
0.05,yeast,lr,crcc_m,0.7003,0.0153,0.7364,0.0175,0.4328,0.032,0.4364,0.0287,0.0109,0.0163
0.05,yeast,lr,crcc_p_l0,0.6947,0.0172,0.7319,0.0192,0.4197,0.0359,0.5127,0.027,0.0145,0.0152
0.05,yeast,lr,crcc_p_l025,0.6947,0.0172,0.7319,0.0192,0.4197,0.0359,0.5127,0.027,0.0145,0.0152
0.05,yeast,lr,crcc_p_l05,0.6947,0.0172,0.7319,0.0192,0.4197,0.0359,0.5127,0.027,0.0145,0.0152
0.05,yeast,lr,crcc_p_l10,0.6947,0.0172,0.7319,0.0192,0.4197,0.0359,0.5127,0.027,0.0145,0.0152
0.05,yeast,lr,global_top_loss,0.6034,0.0164,0.6319,0.0234,0.2197,0.0298,0.8,0.0498,0.1964,0.0453
0.05,yeast,lr,no_cleaning,0.5443,0.0125,0.5412,0.0225,0.0951,0.0269,0.0,0.0,0.0,0.0
0.05,yeast,lr,oracle_deletion,0.5729,0.0231,0.5871,0.0356,0.1574,0.0472,1.0,0.0,0.0,0.0
0.05,yeast,lr,random_deletion,0.5456,0.0145,0.5435,0.0256,0.0984,0.0307,0.1564,0.0699,0.0836,0.033
0.1,credit-g,hgb,class_proportional,0.591,0.0368,0.5921,0.0448,0.2827,0.0768,0.2032,0.0421,0.0677,0.0368
0.1,credit-g,hgb,crcc_m,0.6025,0.0442,0.6067,0.0527,0.3147,0.0809,0.1581,0.0368,0.0323,0.0198
0.1,credit-g,hgb,crcc_p_l0,0.591,0.0368,0.5921,0.0448,0.2827,0.0768,0.2032,0.0421,0.0677,0.0368
0.1,credit-g,hgb,crcc_p_l025,0.591,0.0368,0.5921,0.0448,0.2827,0.0768,0.2032,0.0421,0.0677,0.0368
0.1,credit-g,hgb,crcc_p_l05,0.591,0.0368,0.5921,0.0448,0.2827,0.0768,0.2032,0.0421,0.0677,0.0368
0.1,credit-g,hgb,crcc_p_l10,0.591,0.0368,0.5921,0.0448,0.2827,0.0768,0.2032,0.0421,0.0677,0.0368
0.1,credit-g,hgb,global_top_loss,0.5206,0.0159,0.4719,0.0262,0.072,0.0292,0.4806,0.0502,0.5,0.0456
0.1,credit-g,hgb,no_cleaning,0.5442,0.0174,0.5169,0.0273,0.1307,0.0318,0.0,0.0,0.0,0.0
0.1,credit-g,hgb,oracle_deletion,0.5617,0.0153,0.543,0.0216,0.16,0.0249,1.0,0.0,0.0,0.0
0.1,credit-g,hgb,random_deletion,0.5467,0.0199,0.5225,0.0292,0.1413,0.0372,0.1226,0.0436,0.0839,0.031
0.1,credit-g,lr,class_proportional,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_m,0.6246,0.0218,0.6326,0.0253,0.352,0.0563,0.2065,0.0331,0.0226,0.0088
0.1,credit-g,lr,crcc_p_l0,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_p_l025,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_p_l05,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,crcc_p_l10,0.6246,0.027,0.6327,0.0308,0.352,0.0586,0.2613,0.021,0.0516,0.0289
0.1,credit-g,lr,global_top_loss,0.5608,0.0172,0.5395,0.0292,0.1547,0.0428,0.5613,0.0552,0.4387,0.0552
0.1,credit-g,lr,no_cleaning,0.5291,0.0142,0.4775,0.0307,0.072,0.0384,0.0,0.0,0.0,0.0
0.1,credit-g,lr,oracle_deletion,0.5606,0.0252,0.533,0.0436,0.136,0.0511,1.0,0.0,0.0,0.0
0.1,credit-g,lr,random_deletion,0.5455,0.0211,0.5086,0.0383,0.1093,0.0502,0.1226,0.0436,0.0839,0.031
0.1,ecoli,hgb,class_proportional,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_m,0.7514,0.1472,0.7422,0.1281,0.6105,0.2897,0.2609,0.0532,0.0174,0.0238
0.1,ecoli,hgb,crcc_p_l0,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_p_l025,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_p_l05,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,crcc_p_l10,0.7703,0.1082,0.7652,0.0869,0.6421,0.2245,0.3304,0.0728,0.0348,0.0194
0.1,ecoli,hgb,global_top_loss,0.7326,0.0968,0.7565,0.1044,0.5053,0.1883,0.6783,0.0659,0.2609,0.0435
0.1,ecoli,hgb,no_cleaning,0.6745,0.1196,0.6847,0.1225,0.4105,0.2452,0.0,0.0,0.0,0.0
0.1,ecoli,hgb,oracle_deletion,0.7769,0.0932,0.7967,0.0843,0.6,0.1846,1.0,0.0,0.0,0.0
0.1,ecoli,hgb,random_deletion,0.6881,0.114,0.7023,0.1243,0.4316,0.2276,0.087,0.0435,0.1043,0.1134
0.1,ecoli,lr,class_proportional,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_m,0.8216,0.0392,0.8199,0.0336,0.7263,0.0942,0.4,0.1083,0.0,0.0
0.1,ecoli,lr,crcc_p_l0,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_p_l025,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_p_l05,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,crcc_p_l10,0.8216,0.0559,0.82,0.0534,0.7263,0.1141,0.487,0.1167,0.0,0.0
0.1,ecoli,lr,global_top_loss,0.6632,0.0754,0.6942,0.088,0.3263,0.1507,0.7652,0.1091,0.2348,0.1091
0.1,ecoli,lr,no_cleaning,0.6353,0.0639,0.659,0.0821,0.2737,0.1257,0.0,0.0,0.0,0.0
0.1,ecoli,lr,oracle_deletion,0.8171,0.0754,0.8483,0.0687,0.6526,0.147,1.0,0.0,0.0,0.0
0.1,ecoli,lr,random_deletion,0.6579,0.1085,0.679,0.1337,0.3158,0.217,0.087,0.0435,0.1043,0.1134
0.1,phoneme,hgb,class_proportional,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_m,0.7794,0.0197,0.7936,0.0203,0.6374,0.0301,0.346,0.0304,0.0077,0.0062
0.1,phoneme,hgb,crcc_p_l0,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_p_l025,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_p_l05,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,crcc_p_l10,0.7771,0.014,0.7931,0.0151,0.6273,0.0206,0.4142,0.0313,0.0237,0.0047
0.1,phoneme,hgb,global_top_loss,0.6614,0.0163,0.6812,0.0205,0.3439,0.0265,0.6914,0.0322,0.2878,0.0293
0.1,phoneme,hgb,no_cleaning,0.6762,0.009,0.6985,0.0109,0.3812,0.017,0.0,0.0,0.0,0.0
0.1,phoneme,hgb,oracle_deletion,0.7418,0.0101,0.7707,0.0113,0.5124,0.0186,1.0,0.0,0.0,0.0
0.1,phoneme,hgb,random_deletion,0.6884,0.0167,0.7123,0.019,0.407,0.0352,0.1228,0.0169,0.1068,0.0219
0.1,phoneme,lr,class_proportional,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_m,0.6575,0.0197,0.669,0.0207,0.4266,0.0407,0.2291,0.0163,0.0053,0.0057
0.1,phoneme,lr,crcc_p_l0,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_p_l025,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_p_l05,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,crcc_p_l10,0.6434,0.0152,0.6547,0.0161,0.3898,0.0367,0.3074,0.0104,0.0119,0.007
0.1,phoneme,lr,global_top_loss,0.541,0.0086,0.5027,0.0144,0.0968,0.0163,0.6463,0.0487,0.3537,0.0487
0.1,phoneme,lr,no_cleaning,0.503,0.0038,0.4204,0.0082,0.0061,0.0077,0.0,0.0,0.0,0.0
0.1,phoneme,lr,oracle_deletion,0.5282,0.0101,0.4723,0.0208,0.0585,0.0223,1.0,0.0,0.0,0.0
0.1,phoneme,lr,random_deletion,0.5018,0.0019,0.4177,0.0042,0.0035,0.0038,0.1228,0.0169,0.1068,0.0219
0.1,pima,hgb,class_proportional,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,crcc_m,0.6246,0.0375,0.6279,0.041,0.3821,0.072,0.1773,0.0373,0.0136,0.0124
0.1,pima,hgb,crcc_p_l0,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,crcc_p_l025,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
