budget,dataset,model,method,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,minority_recall_mean,minority_recall_std,noise_precision_deleted_mean,noise_precision_deleted_std,clean_minority_deletion_rate_mean,clean_minority_deletion_rate_std
0.1,pima,hgb,crcc_p_l05,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,crcc_p_l10,0.6158,0.0296,0.6183,0.0331,0.3612,0.0499,0.2591,0.0471,0.0364,0.0345
0.1,pima,hgb,global_top_loss,0.5525,0.0291,0.513,0.0431,0.1403,0.0523,0.55,0.0566,0.4227,0.0635
0.1,pima,hgb,no_cleaning,0.5597,0.0336,0.5346,0.0475,0.1851,0.0584,0.0,0.0,0.0,0.0
0.1,pima,hgb,oracle_deletion,0.5747,0.0318,0.5502,0.0451,0.191,0.0572,1.0,0.0,0.0,0.0
0.1,pima,hgb,random_deletion,0.5483,0.0312,0.5195,0.0449,0.1701,0.0593,0.1273,0.0259,0.1136,0.0321
0.1,pima,lr,class_proportional,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,crcc_m,0.7037,0.0411,0.7142,0.0439,0.5194,0.0591,0.2636,0.0443,0.0182,0.019
0.1,pima,lr,crcc_p_l0,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,crcc_p_l025,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,crcc_p_l05,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,crcc_p_l10,0.6993,0.0426,0.7101,0.0461,0.5075,0.0568,0.3364,0.0337,0.0364,0.038
0.1,pima,lr,global_top_loss,0.5664,0.0385,0.5284,0.0628,0.1552,0.0828,0.6273,0.0614,0.3682,0.0588
0.1,pima,lr,no_cleaning,0.5385,0.0203,0.4769,0.0352,0.0866,0.0386,0.0,0.0,0.0,0.0
0.1,pima,lr,oracle_deletion,0.5569,0.0249,0.5129,0.0401,0.1313,0.0488,1.0,0.0,0.0,0.0
0.1,pima,lr,random_deletion,0.537,0.0194,0.4744,0.0327,0.0836,0.0344,0.1273,0.0259,0.1136,0.0321
0.1,yeast,hgb,class_proportional,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_m,0.6949,0.0256,0.6982,0.0206,0.482,0.0551,0.2679,0.0271,0.0183,0.0065
0.1,yeast,hgb,crcc_p_l0,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_p_l025,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_p_l05,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,crcc_p_l10,0.7085,0.0169,0.7192,0.0112,0.4918,0.0402,0.3523,0.0353,0.033,0.0221
0.1,yeast,hgb,global_top_loss,0.63,0.0383,0.6619,0.0447,0.282,0.0781,0.6624,0.0237,0.3156,0.0382
0.1,yeast,hgb,no_cleaning,0.6181,0.0268,0.6407,0.0313,0.282,0.0536,0.0,0.0,0.0,0.0
0.1,yeast,hgb,oracle_deletion,0.6764,0.0377,0.7085,0.0425,0.3902,0.0699,1.0,0.0,0.0,0.0
0.1,yeast,hgb,random_deletion,0.6351,0.0285,0.6594,0.0316,0.318,0.0563,0.145,0.0407,0.1028,0.0364
0.1,yeast,lr,class_proportional,0.7438,0.0176,0.7527,0.0154,0.5574,0.0478,0.4183,0.0571,0.033,0.0221
0.1,yeast,lr,crcc_m,0.7448,0.0194,0.7528,0.0188,0.5607,0.0511,0.3578,0.0454,0.0073,0.0077
0.1,yeast,lr,crcc_p_l0,0.7438,0.0176,0.7527,0.0154,0.5574,0.0478,0.4183,0.0571,0.033,0.0221
0.1,yeast,lr,crcc_p_l025,0.7438,0.0176,0.7527,0.0154,0.5574,0.0478,0.4183,0.0571,0.033,0.0221
0.1,yeast,lr,crcc_p_l05,0.7438,0.0176,0.7527,0.0154,0.5574,0.0478,0.4183,0.0571,0.033,0.0221
0.1,yeast,lr,crcc_p_l10,0.7438,0.0176,0.7527,0.0154,0.5574,0.0478,0.4183,0.0571,0.033,0.0221
0.1,yeast,lr,global_top_loss,0.6044,0.0178,0.6327,0.025,0.223,0.034,0.7119,0.0408,0.2826,0.0456
0.1,yeast,lr,no_cleaning,0.5443,0.0125,0.5412,0.0225,0.0951,0.0269,0.0,0.0,0.0,0.0
0.1,yeast,lr,oracle_deletion,0.6001,0.0196,0.627,0.028,0.2131,0.0384,1.0,0.0,0.0,0.0
0.1,yeast,lr,random_deletion,0.5509,0.0114,0.5524,0.019,0.1082,0.0249,0.145,0.0407,0.1028,0.0364
0.15,credit-g,hgb,class_proportional,0.5996,0.022,0.604,0.0265,0.3067,0.0452,0.2086,0.0478,0.0688,0.028
0.15,credit-g,hgb,crcc_m,0.6109,0.0371,0.6174,0.0422,0.352,0.0555,0.1548,0.0248,0.0258,0.0163
0.15,credit-g,hgb,crcc_p_l0,0.5996,0.022,0.604,0.0265,0.3067,0.0452,0.2086,0.0478,0.0688,0.028
0.15,credit-g,hgb,crcc_p_l025,0.5996,0.022,0.604,0.0265,0.3067,0.0452,0.2086,0.0478,0.0688,0.028
0.15,credit-g,hgb,crcc_p_l05,0.5996,0.022,0.604,0.0265,0.3067,0.0452,0.2086,0.0478,0.0688,0.028
0.15,credit-g,hgb,crcc_p_l10,0.5996,0.022,0.604,0.0265,0.3067,0.0452,0.2086,0.0478,0.0688,0.028
0.15,credit-g,hgb,global_top_loss,0.5213,0.0115,0.4648,0.0244,0.0587,0.0292,0.443,0.0512,0.4774,0.0562
0.15,credit-g,hgb,no_cleaning,0.5442,0.0174,0.5169,0.0273,0.1307,0.0318,0.0,0.0,0.0,0.0
0.15,credit-g,hgb,oracle_deletion,0.572,0.0179,0.5575,0.0247,0.176,0.0304,1.0,0.0,0.0,0.0
0.15,credit-g,hgb,random_deletion,0.5394,0.0206,0.5142,0.0307,0.136,0.0382,0.1269,0.014,0.0968,0.034
0.15,credit-g,lr,class_proportional,0.637,0.0189,0.644,0.0192,0.4213,0.0468,0.2516,0.0223,0.0452,0.0192
0.15,credit-g,lr,crcc_m,0.6467,0.018,0.653,0.0191,0.4533,0.0327,0.1892,0.0259,0.0215,0.0076
0.15,credit-g,lr,crcc_p_l0,0.637,0.0189,0.644,0.0192,0.4213,0.0468,0.2516,0.0223,0.0452,0.0192
0.15,credit-g,lr,crcc_p_l025,0.637,0.0189,0.644,0.0192,0.4213,0.0468,0.2516,0.0223,0.0452,0.0192
0.15,credit-g,lr,crcc_p_l05,0.637,0.0189,0.644,0.0192,0.4213,0.0468,0.2516,0.0223,0.0452,0.0192
0.15,credit-g,lr,crcc_p_l10,0.637,0.0189,0.644,0.0192,0.4213,0.0468,0.2516,0.0223,0.0452,0.0192
0.15,credit-g,lr,global_top_loss,0.5227,0.0196,0.4675,0.0337,0.0613,0.036,0.4731,0.0594,0.5183,0.0556
0.15,credit-g,lr,no_cleaning,0.5291,0.0142,0.4775,0.0307,0.072,0.0384,0.0,0.0,0.0,0.0
0.15,credit-g,lr,oracle_deletion,0.5756,0.0272,0.5584,0.0436,0.1707,0.0584,1.0,0.0,0.0,0.0
0.15,credit-g,lr,random_deletion,0.535,0.0208,0.4872,0.0412,0.0827,0.0494,0.1269,0.014,0.0968,0.034
0.15,ecoli,hgb,class_proportional,0.7589,0.1291,0.7461,0.1054,0.6316,0.2709,0.3059,0.0534,0.0353,0.0246
0.15,ecoli,hgb,crcc_m,0.7639,0.1198,0.7442,0.0963,0.6632,0.2485,0.2412,0.0638,0.0176,0.0161
0.15,ecoli,hgb,crcc_p_l0,0.7589,0.1291,0.7461,0.1054,0.6316,0.2709,0.3059,0.0534,0.0353,0.0246
0.15,ecoli,hgb,crcc_p_l025,0.7589,0.1291,0.7461,0.1054,0.6316,0.2709,0.3059,0.0534,0.0353,0.0246
0.15,ecoli,hgb,crcc_p_l05,0.7589,0.1291,0.7461,0.1054,0.6316,0.2709,0.3059,0.0534,0.0353,0.0246
0.15,ecoli,hgb,crcc_p_l10,0.7589,0.1291,0.7461,0.1054,0.6316,0.2709,0.3059,0.0534,0.0353,0.0246
0.15,ecoli,hgb,global_top_loss,0.7004,0.0893,0.728,0.1045,0.4316,0.1722,0.5824,0.0732,0.3,0.0638
0.15,ecoli,hgb,no_cleaning,0.6745,0.1196,0.6847,0.1225,0.4105,0.2452,0.0,0.0,0.0,0.0
0.15,ecoli,hgb,oracle_deletion,0.8063,0.0816,0.8275,0.0761,0.6526,0.1516,1.0,0.0,0.0,0.0
0.15,ecoli,hgb,random_deletion,0.6602,0.0924,0.6781,0.1029,0.3789,0.1722,0.1471,0.075,0.1059,0.0738
0.15,ecoli,lr,class_proportional,0.8347,0.0515,0.8112,0.0417,0.7895,0.1234,0.4118,0.0588,0.0059,0.0132
0.15,ecoli,lr,crcc_m,0.8354,0.0373,0.8078,0.0311,0.8,0.1012,0.3235,0.069,0.0,0.0
0.15,ecoli,lr,crcc_p_l0,0.8347,0.0515,0.8112,0.0417,0.7895,0.1234,0.4118,0.0588,0.0059,0.0132
0.15,ecoli,lr,crcc_p_l025,0.8347,0.0515,0.8112,0.0417,0.7895,0.1234,0.4118,0.0588,0.0059,0.0132
0.15,ecoli,lr,crcc_p_l05,0.8347,0.0515,0.8112,0.0417,0.7895,0.1234,0.4118,0.0588,0.0059,0.0132
0.15,ecoli,lr,crcc_p_l10,0.8347,0.0515,0.8112,0.0417,0.7895,0.1234,0.4118,0.0588,0.0059,0.0132
0.15,ecoli,lr,global_top_loss,0.6474,0.0711,0.6734,0.0962,0.2947,0.1422,0.6059,0.0944,0.3882,0.0962
0.15,ecoli,lr,no_cleaning,0.6353,0.0639,0.659,0.0821,0.2737,0.1257,0.0,0.0,0.0,0.0
0.15,ecoli,lr,oracle_deletion,0.8035,0.0708,0.8322,0.0592,0.6316,0.1534,1.0,0.0,0.0,0.0
0.15,ecoli,lr,random_deletion,0.6406,0.0646,0.6659,0.0847,0.2842,0.1268,0.1471,0.075,0.1059,0.0738
0.15,phoneme,hgb,class_proportional,0.7939,0.0161,0.8035,0.0156,0.6758,0.027,0.3513,0.0172,0.0293,0.0066
0.15,phoneme,hgb,crcc_m,0.7978,0.0143,0.8028,0.0141,0.6974,0.0267,0.2812,0.0131,0.0103,0.0045
0.15,phoneme,hgb,crcc_p_l0,0.7939,0.0161,0.8035,0.0156,0.6758,0.027,0.3513,0.0172,0.0293,0.0066
0.15,phoneme,hgb,crcc_p_l025,0.7939,0.0161,0.8035,0.0156,0.6758,0.027,0.3513,0.0172,0.0293,0.0066
0.15,phoneme,hgb,crcc_p_l05,0.7939,0.0161,0.8035,0.0156,0.6758,0.027,0.3513,0.0172,0.0293,0.0066
0.15,phoneme,hgb,crcc_p_l10,0.7939,0.0161,0.8035,0.0156,0.6758,0.027,0.3513,0.0172,0.0293,0.0066
0.15,phoneme,hgb,global_top_loss,0.6534,0.0171,0.671,0.0226,0.3207,0.0356,0.577,0.0315,0.3481,0.0268
0.15,phoneme,hgb,no_cleaning,0.6762,0.009,0.6985,0.0109,0.3812,0.017,0.0,0.0,0.0,0.0
0.15,phoneme,hgb,oracle_deletion,0.7535,0.0113,0.7833,0.0124,0.533,0.0201,1.0,0.0,0.0,0.0
0.15,phoneme,hgb,random_deletion,0.6703,0.0157,0.6913,0.0189,0.3717,0.0297,0.1291,0.0047,0.105,0.0112
0.15,phoneme,lr,class_proportional,0.7214,0.0176,0.7264,0.0175,0.5829,0.0301,0.3046,0.0094,0.0139,0.0042
0.15,phoneme,lr,crcc_m,0.7336,0.0161,0.7357,0.0156,0.6142,0.0264,0.2384,0.0064,0.0059,0.004
0.15,phoneme,lr,crcc_p_l0,0.7214,0.0176,0.7264,0.0175,0.5829,0.0301,0.3046,0.0094,0.0139,0.0042
0.15,phoneme,lr,crcc_p_l025,0.7214,0.0176,0.7264,0.0175,0.5829,0.0301,0.3046,0.0094,0.0139,0.0042
0.15,phoneme,lr,crcc_p_l05,0.7214,0.0176,0.7264,0.0175,0.5829,0.0301,0.3046,0.0094,0.0139,0.0042
0.15,phoneme,lr,crcc_p_l10,0.7214,0.0176,0.7264,0.0175,0.5829,0.0301,0.3046,0.0094,0.0139,0.0042
0.15,phoneme,lr,global_top_loss,0.5414,0.0043,0.4982,0.0076,0.0862,0.0084,0.495,0.036,0.505,0.036
0.15,phoneme,lr,no_cleaning,0.503,0.0038,0.4204,0.0082,0.0061,0.0077,0.0,0.0,0.0,0.0
0.15,phoneme,lr,oracle_deletion,0.5366,0.003,0.4908,0.0065,0.0797,0.0084,1.0,0.0,0.0,0.0
0.15,phoneme,lr,random_deletion,0.5023,0.0027,0.4188,0.0058,0.0045,0.0055,0.1291,0.0047,0.105,0.0112
0.15,pima,hgb,class_proportional,0.6361,0.0506,0.6412,0.0568,0.397,0.0751,0.2424,0.0467,0.0545,0.0275
0.15,pima,hgb,crcc_m,0.6431,0.0434,0.6484,0.0459,0.4478,0.0676,0.1879,0.0365,0.0152,0.0107
0.15,pima,hgb,crcc_p_l0,0.6361,0.0506,0.6412,0.0568,0.397,0.0751,0.2424,0.0467,0.0545,0.0275
0.15,pima,hgb,crcc_p_l025,0.6361,0.0506,0.6412,0.0568,0.397,0.0751,0.2424,0.0467,0.0545,0.0275
0.15,pima,hgb,crcc_p_l05,0.6361,0.0506,0.6412,0.0568,0.397,0.0751,0.2424,0.0467,0.0545,0.0275
0.15,pima,hgb,crcc_p_l10,0.6361,0.0506,0.6412,0.0568,0.397,0.0751,0.2424,0.0467,0.0545,0.0275
0.15,pima,hgb,global_top_loss,0.5462,0.0435,0.4968,0.0655,0.1164,0.0734,0.503,0.0434,0.4242,0.0546
0.15,pima,hgb,no_cleaning,0.5597,0.0336,0.5346,0.0475,0.1851,0.0584,0.0,0.0,0.0,0.0
0.15,pima,hgb,oracle_deletion,0.6104,0.0337,0.6033,0.0435,0.2657,0.0488,1.0,0.0,0.0,0.0
0.15,pima,hgb,random_deletion,0.5596,0.0413,0.533,0.0626,0.1881,0.0887,0.1242,0.0496,0.1,0.0583
0.15,pima,lr,class_proportional,0.7248,0.0284,0.7307,0.03,0.6,0.0386,0.303,0.0214,0.0333,0.0271
0.15,pima,lr,crcc_m,0.7275,0.0345,0.7318,0.0353,0.6149,0.0488,0.2242,0.0225,0.0152,0.0152
0.15,pima,lr,crcc_p_l0,0.7248,0.0284,0.7307,0.03,0.6,0.0386,0.303,0.0214,0.0333,0.0271
0.15,pima,lr,crcc_p_l025,0.7248,0.0284,0.7307,0.03,0.6,0.0386,0.303,0.0214,0.0333,0.0271
0.15,pima,lr,crcc_p_l05,0.7248,0.0284,0.7307,0.03,0.6,0.0386,0.303,0.0214,0.0333,0.0271
0.15,pima,lr,crcc_p_l10,0.7248,0.0284,0.7307,0.03,0.6,0.0386,0.303,0.0214,0.0333,0.0271
0.15,pima,lr,global_top_loss,0.5346,0.0228,0.4713,0.0432,0.0836,0.0513,0.5212,0.0409,0.4636,0.0275
0.15,pima,lr,no_cleaning,0.5385,0.0203,0.4769,0.0352,0.0866,0.0386,0.0,0.0,0.0,0.0
0.15,pima,lr,oracle_deletion,0.5958,0.0362,0.5736,0.053,0.206,0.0734,1.0,0.0,0.0,0.0
0.15,pima,lr,random_deletion,0.5487,0.0323,0.4974,0.0551,0.1134,0.0603,0.1242,0.0496,0.1,0.0583
0.15,yeast,hgb,class_proportional,0.6992,0.0208,0.6999,0.0173,0.4951,0.0455,0.3085,0.025,0.0378,0.0175
0.15,yeast,hgb,crcc_m,0.7029,0.0212,0.6942,0.0191,0.5213,0.0391,0.2451,0.0117,0.0159,0.0082
0.15,yeast,hgb,crcc_p_l0,0.6992,0.0208,0.6999,0.0173,0.4951,0.0455,0.3085,0.025,0.0378,0.0175
0.15,yeast,hgb,crcc_p_l025,0.6992,0.0208,0.6999,0.0173,0.4951,0.0455,0.3085,0.025,0.0378,0.0175
0.15,yeast,hgb,crcc_p_l05,0.6992,0.0208,0.6999,0.0173,0.4951,0.0455,0.3085,0.025,0.0378,0.0175
0.15,yeast,hgb,crcc_p_l10,0.6992,0.0208,0.6999,0.0173,0.4951,0.0455,0.3085,0.025,0.0378,0.0175
0.15,yeast,hgb,global_top_loss,0.6359,0.0233,0.6721,0.0257,0.2885,0.0513,0.5646,0.0235,0.3463,0.023
0.15,yeast,hgb,no_cleaning,0.6181,0.0268,0.6407,0.0313,0.282,0.0536,0.0,0.0,0.0,0.0
0.15,yeast,hgb,oracle_deletion,0.6856,0.0269,0.7174,0.0268,0.4098,0.058,1.0,0.0,0.0,0.0
0.15,yeast,hgb,random_deletion,0.6243,0.0394,0.6474,0.0478,0.2951,0.0742,0.1232,0.0294,0.0915,0.0075
0.15,yeast,lr,class_proportional,0.7507,0.0131,0.7391,0.0163,0.6033,0.0315,0.3549,0.0389,0.0341,0.0176
0.15,yeast,lr,crcc_m,0.7481,0.015,0.7323,0.016,0.6066,0.0348,0.2841,0.0362,0.0098,0.0092
0.15,yeast,lr,crcc_p_l0,0.7507,0.0131,0.7391,0.0163,0.6033,0.0315,0.3549,0.0389,0.0341,0.0176
0.15,yeast,lr,crcc_p_l025,0.7507,0.0131,0.7391,0.0163,0.6033,0.0315,0.3549,0.0389,0.0341,0.0176
0.15,yeast,lr,crcc_p_l05,0.7507,0.0131,0.7391,0.0163,0.6033,0.0315,0.3549,0.0389,0.0341,0.0176
0.15,yeast,lr,crcc_p_l10,0.7507,0.0131,0.7391,0.0163,0.6033,0.0315,0.3549,0.0389,0.0341,0.0176
0.15,yeast,lr,global_top_loss,0.5729,0.018,0.5879,0.0277,0.1541,0.034,0.5671,0.0418,0.4171,0.0451
0.15,yeast,lr,no_cleaning,0.5443,0.0125,0.5412,0.0225,0.0951,0.0269,0.0,0.0,0.0,0.0
0.15,yeast,lr,oracle_deletion,0.6257,0.0164,0.6609,0.0212,0.2656,0.0336,1.0,0.0,0.0,0.0
0.15,yeast,lr,random_deletion,0.5522,0.0107,0.5549,0.0178,0.1115,0.0214,0.1232,0.0294,0.0915,0.0075
0.2,credit-g,hgb,class_proportional,0.5956,0.0381,0.5991,0.044,0.3067,0.0699,0.1821,0.0291,0.0813,0.0152
0.2,credit-g,hgb,crcc_m,0.5977,0.0232,0.6024,0.0251,0.352,0.0407,0.1415,0.0212,0.0325,0.0163
0.2,credit-g,hgb,crcc_p_l0,0.5956,0.0381,0.5991,0.044,0.3067,0.0699,0.1821,0.0291,0.0813,0.0152
0.2,credit-g,hgb,crcc_p_l025,0.5956,0.0381,0.5991,0.044,0.3067,0.0699,0.1821,0.0291,0.0813,0.0152
0.2,credit-g,hgb,crcc_p_l05,0.5956,0.0381,0.5991,0.044,0.3067,0.0699,0.1821,0.0291,0.0813,0.0152
0.2,credit-g,hgb,crcc_p_l10,0.5956,0.0381,0.5991,0.044,0.3067,0.0699,0.1821,0.0291,0.0813,0.0152
0.2,credit-g,hgb,global_top_loss,0.5166,0.0141,0.4502,0.0288,0.04,0.0298,0.3789,0.0599,0.4455,0.0301
0.2,credit-g,hgb,no_cleaning,0.5442,0.0174,0.5169,0.0273,0.1307,0.0318,0.0,0.0,0.0,0.0
0.2,credit-g,hgb,oracle_deletion,0.572,0.0179,0.5575,0.0247,0.176,0.0304,1.0,0.0,0.0,0.0
0.2,credit-g,hgb,random_deletion,0.5419,0.0202,0.5177,0.0256,0.1387,0.0276,0.1122,0.024,0.0976,0.031
0.2,credit-g,lr,class_proportional,0.6566,0.015,0.6598,0.0154,0.496,0.0289,0.2276,0.0237,0.0537,0.0148
0.2,credit-g,lr,crcc_m,0.6566,0.0251,0.6576,0.0254,0.512,0.0372,0.1626,0.0199,0.026,0.0145
0.2,credit-g,lr,crcc_p_l0,0.6566,0.015,0.6598,0.0154,0.496,0.0289,0.2276,0.0237,0.0537,0.0148
0.2,credit-g,lr,crcc_p_l025,0.6566,0.015,0.6598,0.0154,0.496,0.0289,0.2276,0.0237,0.0537,0.0148
0.2,credit-g,lr,crcc_p_l05,0.6566,0.015,0.6598,0.0154,0.496,0.0289,0.2276,0.0237,0.0537,0.0148
0.2,credit-g,lr,crcc_p_l10,0.6566,0.015,0.6598,0.0154,0.496,0.0289,0.2276,0.0237,0.0537,0.0148
0.2,credit-g,lr,global_top_loss,0.5112,0.0118,0.4376,0.027,0.0267,0.0288,0.4024,0.0378,0.5041,0.0257
0.2,credit-g,lr,no_cleaning,0.5291,0.0142,0.4775,0.0307,0.072,0.0384,0.0,0.0,0.0,0.0
0.2,credit-g,lr,oracle_deletion,0.5756,0.0272,0.5584,0.0436,0.1707,0.0584,1.0,0.0,0.0,0.0
0.2,credit-g,lr,random_deletion,0.535,0.0325,0.4896,0.0591,0.0907,0.072,0.1122,0.024,0.0976,0.031
0.2,ecoli,hgb,class_proportional,0.767,0.0993,0.7541,0.0825,0.6632,0.1919,0.2957,0.0248,0.0348,0.0194
0.2,ecoli,hgb,crcc_m,0.7547,0.1291,0.7303,0.1043,0.6632,0.2621,0.2261,0.033,0.013,0.0119
0.2,ecoli,hgb,crcc_p_l0,0.767,0.0993,0.7541,0.0825,0.6632,0.1919,0.2957,0.0248,0.0348,0.0194
0.2,ecoli,hgb,crcc_p_l025,0.767,0.0993,0.7541,0.0825,0.6632,0.1919,0.2957,0.0248,0.0348,0.0194
0.2,ecoli,hgb,crcc_p_l05,0.767,0.0993,0.7541,0.0825,0.6632,0.1919,0.2957,0.0248,0.0348,0.0194
0.2,ecoli,hgb,crcc_p_l10,0.767,0.0993,0.7541,0.0825,0.6632,0.1919,0.2957,0.0248,0.0348,0.0194
0.2,ecoli,hgb,global_top_loss,0.6794,0.1475,0.6949,0.1561,0.3895,0.2849,0.4783,0.0486,0.3043,0.0266
0.2,ecoli,hgb,no_cleaning,0.6745,0.1196,0.6847,0.1225,0.4105,0.2452,0.0,0.0,0.0,0.0
0.2,ecoli,hgb,oracle_deletion,0.8032,0.0861,0.8224,0.0837,0.6526,0.1516,1.0,0.0,0.0,0.0
0.2,ecoli,hgb,random_deletion,0.6789,0.0529,0.6941,0.0444,0.4316,0.1362,0.1304,0.0554,0.1087,0.0532
